datetime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2020-03-10 16:02:03.385509,0.011,-0.007,1.031,0.21,0.49,1.05
2020-03-10 16:02:03.385647,0.011,-0.005,1.031,0.21,0.42,1.05
2020-03-10 16:02:03.385703,0.011,-0.006,1.03,0.21,0.49,1.05
2020-03-10 16:02:03.393315,0.011,-0.005,1.032,0.21,0.56,1.05
2020-03-10 16:02:03.393367,0.011,-0.006,1.029,0.21,0.56,0.98
2020-03-10 16:02:03.393470,0.011,-0.006,1.029,0.21,0.49,1.05
2020-03-10 16:02:03.408732,0.01,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:03.408780,0.01,-0.006,1.03,0.21,0.49,0.98
2020-03-10 16:02:03.408874,0.011,-0.005,1.03,0.21,0.49,0.98
2020-03-10 16:02:03.408903,0.011,-0.006,1.032,0.21,0.49,1.05
2020-03-10 16:02:03.419098,0.012,-0.006,1.031,0.21,0.56,1.05
2020-03-10 16:02:03.429355,0.011,-0.006,1.029,0.21,0.49,1.05
2020-03-10 16:02:03.429403,0.012,-0.006,1.03,0.21,0.49,0.98
2020-03-10 16:02:03.429504,0.011,-0.005,1.029,0.28,0.49,1.12
2020-03-10 16:02:03.429530,0.011,-0.005,1.031,0.21,0.49,1.05
2020-03-10 16:02:03.429547,0.012,-0.006,1.029,0.21,0.49,1.12
2020-03-10 16:02:03.429560,0.01,-0.006,1.03,0.28,0.49,1.05
2020-03-10 16:02:03.450131,0.012,-0.006,1.03,0.14,0.56,1.05
2020-03-10 16:02:03.465457,0.012,-0.006,1.029,0.21,0.56,1.05
2020-03-10 16:02:03.480842,0.01,-0.006,1.031,0.21,0.56,1.05
2020-03-10 16:02:03.496234,0.012,-0.005,1.03,0.21,0.49,1.05
2020-03-10 16:02:03.496288,0.011,-0.006,1.03,0.21,0.49,1.05
2020-03-10 16:02:03.509157,0.01,-0.007,1.032,0.21,0.49,1.05
2020-03-10 16:02:03.514340,0.012,-0.006,1.031,0.21,0.56,1.05
2020-03-10 16:02:03.514420,0.011,-0.007,1.033,0.21,0.56,1.05
2020-03-10 16:02:03.514443,0.009000000000000001,-0.006,1.03,0.21,0.49,1.05
2020-03-10 16:02:03.519714,0.011,-0.005,1.028,0.21,0.49,1.05
2020-03-10 16:02:03.524889,0.012,-0.005,1.032,0.21,0.56,1.05
2020-03-10 16:02:03.530066,0.013000000000000001,-0.006,1.029,0.21,0.49,1.12
2020-03-10 16:02:03.535242,0.012,-0.006,1.029,0.21,0.42,1.05
2020-03-10 16:02:03.535311,0.01,-0.005,1.028,0.21,0.49,1.05
2020-03-10 16:02:03.550633,0.013000000000000001,-0.005,1.031,0.21,0.56,1.05
2020-03-10 16:02:03.566021,0.01,-0.005,1.03,0.21,0.42,1.05
2020-03-10 16:02:03.566114,0.011,-0.005,1.032,0.21,0.56,1.05
2020-03-10 16:02:03.581523,0.01,-0.004,1.03,0.28,0.56,1.05
2020-03-10 16:02:03.596871,0.011,-0.007,1.029,0.21,0.49,1.05
2020-03-10 16:02:03.607229,0.01,-0.008,1.031,0.21,0.49,1.05
2020-03-10 16:02:03.622662,0.011,-0.006,1.031,0.28,0.49,1.05
2020-03-10 16:02:03.638024,0.008,-0.006,1.031,0.21,0.56,1.05
2020-03-10 16:02:03.638075,0.01,-0.006,1.036,0.21,0.49,1.05
2020-03-10 16:02:03.643269,0.011,-0.005,1.033,0.21,0.56,1.05
2020-03-10 16:02:03.653607,0.011,-0.006,1.029,0.21,0.49,1.05
2020-03-10 16:02:03.668949,0.012,-0.005,1.03,0.21,0.49,1.05
2020-03-10 16:02:03.689421,0.012,-0.005,1.031,0.21,0.49,1.05
2020-03-10 16:02:03.689550,0.01,-0.005,1.03,0.21,0.49,1.05
2020-03-10 16:02:03.689650,0.011,-0.005,1.032,0.21,0.49,1.05
2020-03-10 16:02:03.705072,0.012,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:03.705238,0.011,-0.006,1.028,0.28,0.56,1.05
2020-03-10 16:02:03.705268,0.012,-0.007,1.03,0.21,0.56,1.05
2020-03-10 16:02:03.705412,0.012,-0.006,1.031,0.28,0.49,1.05
2020-03-10 16:02:03.717798,0.01,-0.006,1.034,0.21,0.49,0.98
2020-03-10 16:02:03.728098,0.011,-0.006,1.03,0.21,0.49,1.05
2020-03-10 16:02:03.728147,0.012,-0.007,1.032,0.21,0.49,1.05
2020-03-10 16:02:03.728230,0.012,-0.006,1.03,0.28,0.49,1.05
2020-03-10 16:02:03.728265,0.012,-0.006,1.031,0.21,0.56,1.05
2020-03-10 16:02:03.748779,0.011,-0.005,1.03,0.21,0.49,1.05
